,text,label
1,Use Oracle 6 from ASP.NET application,oracle
4,Weird bindings issue,cocoa
6,test sending emails from SharePoint without smtp server,sharepoint
7,cell and array in Matlab,matlab
8,How do I call an ORACLE function from OCI ?,oracle
9,Typed FP: Tuple Arguments and Curriable Arguments,haskell
10,Do I still need to learn about managing memory now that Objective-C/Cocoa has Garbage collection?,cocoa
11,"Wordpress: wpdb->insert VERSUS wpdb->prepare(wpdb->query(""INSERT...",wordpress
13,Magento - Display Same Block Multiple Times on CMS Page,magento
14,How to tell SVN to ignore files for all team members,svn
15,How do I switch external css files with ajax?,ajax
16,Magento - Code Question,magento
18,Handling metacharacters in search strings,bash
19,magento example module,magento
20,Sql server Newbie needs help,excel
23,"How to get a Wordpress widget to ""remember"" values.",wordpress
24,Cabal and zlib on OS X,haskell
25,How do I watch a serial port with QSocketNotifier (linux)?,qt
26,Controlling the order of QObject children (possible workaround?),qt
27,Inserting into Oracle the wrong way - how to deal with it?,oracle
28,Bash: Delete until a specific file,bash
30,Undelete in SVN working copy,svn
31,how to add additional message in a Drupal form,drupal
32,NSColor with calibrated values works differently than regular color??,cocoa
33,How do you rate Oracle Portals as a platform?,oracle
34,Executing simple commands with Cocoa and Sdef.,cocoa
35,Little Bash Script: Catch Errors?,bash
36,Undeletable file due to backup script,bash
37,"Creating ""pretty"" Qt Custom Widgets",qt
39,Floating Point Comparison in Shell Script,bash
40,Is there any way to only update added files?,svn
41,Cleaning up nested mod_rewrite statements,apache
43,How to debug the main SafariPlugIn project ?,cocoa
44,How to create a tray icon with custom image using QT?,qt
45,magento simple product link to open grouped products page,magento
48,How do I test if a floating point number is an integer in haskell?,haskell
49,Tips for using CVS or Subversion as a backup framework for office documents,svn
50,"Per-filetype ""View whitespace"" setting in Visual Studio",visual-studio
51,How to show x and y axes in Matlab graph?,matlab
52,How to gain access to all  open windows on Desktop using Cocoa?,cocoa
53,Drupal automatic glossary for specific terms,drupal
54,Show product creation & last edit dates on Frontend in Magento,magento
55,Make Apache wait longer before delivering HTTP 408 request timeout,apache
56,How to automate Matlab/Simulink/Real-TimeWorkshop  code generation?,matlab
57,QT: Hide the title bar of a dialog/window,qt
58,Query to Delete Posts Older than X Days in WordPress,wordpress
60,"SharePoint Lists, GetListItems, XML, and VBA - I just want to crossreference!",sharepoint
61,What is GHCi's default implementation of MonadError?,haskell
62,Changing a user created control based on content of input from JS tied textbox,ajax
63,Apache returns sitemap.xml not /sitemap,apache
64,QT question about a QList<QStingList>,qt
65,"safe, fast CFLAGS for mex functions in matlab",matlab
66,Firing a SharePoint Workflow by updating a list item through List Webservice,sharepoint
68,Run Magento in the future!,magento
70,Response.redirect does not work with Ajax controls,ajax
71,Notify upon background jobs finishing running in bash,bash
73,Apache logs -- what is difference between %a and %h?,apache
74,Running A Bash Script Over SSH,bash
76,Using CMS to make webapps.,wordpress
77,QTMovie Notification,qt
81,add column to wordpress database,wordpress
