,text,category,label
0,what alarms do i have set right now,alarm_query,alarm_query
1,checkout today alarm of meeting,alarm_query,alarm_query
2,report alarm settings,alarm_query,alarm_query
3,see see for me the alarms that you have set tomorrow morning,alarm_query,alarm_query
4,is there an alarm for ten am,alarm_query,alarm_query
5,confirm the alarm time,alarm_query,alarm_query
6,show my alarms,alarm_query,alarm_query
7,at what time have you set alarm for me,alarm_query,alarm_query
8,please list active alarms,alarm_query,alarm_query
9,please tell me about upcoming alarms,alarm_query,alarm_query
10,what alarms have i set for tomorrow,alarm_query,alarm_query
11,have i set any alarm for today,alarm_query,alarm_query
12,what alarms are upcoming,alarm_query,alarm_query
13,what alarms do you have set,alarm_query,alarm_query
14,show me all scheduled alarms,alarm_query,alarm_query
15,could you tell me about the alerts i have set,alarm_query,alarm_query
16,show me my alarms i have set,alarm_query,alarm_query
17,do i have any alarms for tomorrow morning,alarm_query,alarm_query
18,what alarm do i have set for today,alarm_query,alarm_query
19,what alarms have been set for me,alarm_query,alarm_query
20,list all set alarms,alarm_query,alarm_query
21,please tell me my alarms,alarm_query,alarm_query
22,what is the wake up time for my alarm i have set for the flight this weekend,alarm_query,alarm_query
23,did i set an alarm to wake up in the morning,alarm_query,alarm_query
24,what times do my alarms go off,alarm_query,alarm_query
25,are there any alarms for today,alarm_query,alarm_query
26,what time is my wakeup alarm set for,alarm_query,alarm_query
27,please read out all the alarms that are set,alarm_query,alarm_query
28,what time are my alarms set for,alarm_query,alarm_query
29,check if default alarm is set,alarm_query,alarm_query
30,how many alarms do i have set,alarm_query,alarm_query
31,are there any alarms currently set,alarm_query,alarm_query
32,confirm alarm for tomorrow morning,alarm_query,alarm_query
33,do i have an alarm set for morning flight,alarm_query,alarm_query
34,what's my next scheduled alarm,alarm_query,alarm_query
35,do i have any alarms set for tomorrow,alarm_query,alarm_query
36,please check alarms,alarm_query,alarm_query
37,what alarms do i have set,alarm_query,alarm_query
38,do i have an alarm set,alarm_query,alarm_query
39,show me the list of alarms,alarm_query,alarm_query
40,just to confirm you set the alarm to go off at eight hundred,alarm_query,alarm_query
41,did i set my house alarm,alarm_query,alarm_query
42,tell me my alarms,alarm_query,alarm_query
43,what are the next three alarms set to go off,alarm_query,alarm_query
44,check if alarm is set for six am,alarm_query,alarm_query
45,i need to set an alarm how many do i have set,alarm_query,alarm_query
46,is the alarm to the backdoor set and ready to go,alarm_query,alarm_query
47,what time do i have my alarm set for tomorrow,alarm_query,alarm_query
48,what's the description for the alarm at eleven am,alarm_query,alarm_query
49,are there any alarms set,alarm_query,alarm_query
50,are there any alarms set right now,alarm_query,alarm_query
51,are there any alarms,alarm_query,alarm_query
52,do i have alarms set for today,alarm_query,alarm_query
53,how many alarms are listed,alarm_query,alarm_query
54,remind me about my alarms today,alarm_query,alarm_query
55,list alarms,alarm_query,alarm_query
56,do i have alarms set before six in the morning,alarm_query,alarm_query
57,how many alarms do i have,alarm_query,alarm_query
58,just see for me the alarms that you have set today morning,alarm_query,alarm_query
59,what alarms are on right now,alarm_query,alarm_query
60,please tell about the alarms,alarm_query,alarm_query
61,review set alarms,alarm_query,alarm_query
62,is my work alarm set for tomorrow,alarm_query,alarm_query
63,what alarms are set,alarm_query,alarm_query
64,what time are my alarms,alarm_query,alarm_query
65,which alarms are set in the phone,alarm_query,alarm_query
66,is my alarm set for tomorrow morning,alarm_query,alarm_query
67,check if any alarm is there after five am,alarm_query,alarm_query
68,what alarms do i have set for thursday,alarm_query,alarm_query
69,checkout today set alarm of ten am,alarm_query,alarm_query
70,is my school alarm set,alarm_query,alarm_query
71,what alarms do i have scheduled for tomorrow,alarm_query,alarm_query
72,tell me if my alarm is set for the morning,alarm_query,alarm_query
73,do i have an alarm set for tomorrow,alarm_query,alarm_query
74,what alarms do i have,alarm_query,alarm_query
75,when was the last alarm set,alarm_query,alarm_query
76,today how many alarms do i have set,alarm_query,alarm_query
77,how many alarms do i have set for morning hours between six and nine am,alarm_query,alarm_query
78,what is tomorrow's alarm time set to,alarm_query,alarm_query
79,please let me know the morning alarm time for weekdays,alarm_query,alarm_query
80,can you tell me about the alarm called bed,alarm_query,alarm_query
81,read me my alarms,alarm_query,alarm_query
82,is there any alarm after five am,alarm_query,alarm_query
83,what are my alarms,alarm_query,alarm_query
84,what days are my alarms set for,alarm_query,alarm_query
85,would like to know the alarm you sent,alarm_query,alarm_query
86,confirm i have set an alarm for six am,alarm_query,alarm_query
87,what alarms did i set,alarm_query,alarm_query
88,what alarms do i got,alarm_query,alarm_query
89,show me the alarms that are set,alarm_query,alarm_query
90,tell me about alarms,alarm_query,alarm_query
91,list all the alarms,alarm_query,alarm_query
92,checkout today third set alarm,alarm_query,alarm_query
93,how many alarms are currently set,alarm_query,alarm_query
94,are there any alarms set what are they,alarm_query,alarm_query
95,is my alarm set,alarm_query,alarm_query
96,all alarms,alarm_query,alarm_query
97,tell me what alarms are set for me,alarm_query,alarm_query
98,next alarm,alarm_query,alarm_query
99,when is the next alarm,alarm_query,alarm_query
100,show alarms,alarm_query,alarm_query
101,let me know about any alarms set today,alarm_query,alarm_query
102,confirm my alarm settings,alarm_query,alarm_query
103,give me the alarm times for the next two days,alarm_query,alarm_query
104,let me know the alarm time,alarm_query,alarm_query
105,is there any alarm active,alarm_query,alarm_query
106,what alarms are set in the house,alarm_query,alarm_query
107,do i have any alarms,alarm_query,alarm_query
108,have i set any alarms in the morning,alarm_query,alarm_query
109,check if i have set any alarm for morning,alarm_query,alarm_query
110,list all of my upcoming alarms,alarm_query,alarm_query
111,my alarms,alarm_query,alarm_query
112,do i have any alarms set for six am tomorrow,alarm_query,alarm_query
113,how many alarms are currently on my phone,alarm_query,alarm_query
114,any alarms currently listed,alarm_query,alarm_query
115,did i remember to set a reminder alarm for my next doctor's appointment,alarm_query,alarm_query
116,what time is set for my wake up alarm,alarm_query,alarm_query
117,what alarms are set for this week,alarm_query,alarm_query
118,what is on my alarm schedule,alarm_query,alarm_query
119,show me all of my active alarms,alarm_query,alarm_query
120,what alarms are currently set,alarm_query,alarm_query
121,review the alarms i have,alarm_query,alarm_query
122,what's the alarm situation for tomorrow,alarm_query,alarm_query
123,olly find any alarms i have set for today,alarm_query,alarm_query
124,i want to see all set alarms,alarm_query,alarm_query
125,do i have an alarm set for today,alarm_query,alarm_query
126,at what time is my alarm set,alarm_query,alarm_query
127,can you tell me if i have any alarms set,alarm_query,alarm_query
128,did I set an alarm to have tablets in the noon,alarm_query,alarm_query
129,which alarms do i have,alarm_query,alarm_query
130,show me the alarms i set,alarm_query,alarm_query
131,what time is my alarm set for,alarm_query,alarm_query
132,is my wake up alarm set a six am,alarm_query,alarm_query
133,what home alarms have been set,alarm_query,alarm_query
134,please read me my alarms,alarm_query,alarm_query
135,what times are my alarms set for,alarm_query,alarm_query
136,when will my alarm go off in the morning,alarm_query,alarm_query
137,do i have any alarms set for today,alarm_query,alarm_query
138,show me what alarm times i've set for the week,alarm_query,alarm_query
139,list current set alarms,alarm_query,alarm_query
140,are there any alarms going off today,alarm_query,alarm_query
141,what alarms do i all have set,alarm_query,alarm_query
142,show me the alarms i've set,alarm_query,alarm_query
143,my set alarms,alarm_query,alarm_query
144,what alarms will wake me up tomorrow,alarm_query,alarm_query
145,have i got any alarms set,alarm_query,alarm_query
146,what alarms i have set,alarm_query,alarm_query
147,tell me about the alarm timings,alarm_query,alarm_query
148,alarms,alarm_query,alarm_query
149,when does my alarm go off,alarm_query,alarm_query
150,would you please check to see if i've set my alarm for tomorrow morning,alarm_query,alarm_query
151,alarm status,alarm_query,alarm_query
152,what time have you set the alarm,alarm_query,alarm_query
153,list my different alarm,alarm_query,alarm_query
154,what time i am waking up tomorrow,alarm_query,alarm_query
155,what alarms did i set today,alarm_query,alarm_query
156,what alarms are coming up,alarm_query,alarm_query
157,if there any alarm is set then let me know,alarm_query,alarm_query
158,review all alarms,alarm_query,alarm_query
159,is the alarm set for tomorrow morning,alarm_query,alarm_query
160,what time is alarm set for,alarm_query,alarm_query
161,do i have alarms set,alarm_query,alarm_query
162,what time is my alarm set for tomorrow morning,alarm_query,alarm_query
163,is my reminder alarm set for dance class,alarm_query,alarm_query
164,when is my alarm set for,alarm_query,alarm_query
165,what time will my alarm wake me up,alarm_query,alarm_query
166,how many alarms are set,alarm_query,alarm_query
167,how many alarms have i set,alarm_query,alarm_query
168,what time will my alarm go off today,alarm_query,alarm_query
169,please let me know the alarm kept for tuesday's meeting,alarm_query,alarm_query
170,did you set the alarm for five am,alarm_query,alarm_query
171,let me know about the alarms you set,alarm_query,alarm_query
172,what alarms do i have set for today,alarm_query,alarm_query
173,what's my next alarm,alarm_query,alarm_query
174,let me see my alarms,alarm_query,alarm_query
281,Set a alarm for the day,alarm_set,alarm_set
282,set an alarm for tomorrow at six in the morning,alarm_set,alarm_set
283,put an alarm and wake me up at six am tomorrow morning,alarm_set,alarm_set
284,set alarm at five am,alarm_set,alarm_set
285,update alarm,alarm_set,alarm_set
286,set new alarm on five am,alarm_set,alarm_set
287,please set alarm for,alarm_set,alarm_set
288,please arrange to wake me up at three am alarm,alarm_set,alarm_set
289,set the alarm for tomorrow five am,alarm_set,alarm_set
290,set an alarm for me at eight am,alarm_set,alarm_set
291,set alarm tomorrow at six am,alarm_set,alarm_set
292,set an alarm forty minutes from now,alarm_set,alarm_set
293,set an alarm for me for tomorrow at seven pm,alarm_set,alarm_set
294,set an alarm for two pm,alarm_set,alarm_set
295,set an alarm for five minutes from now,alarm_set,alarm_set
296,set alarm for tomorrow morning at six am,alarm_set,alarm_set
297,i want an alarm for three today,alarm_set,alarm_set
298,set alarm at nine am on next sunday,alarm_set,alarm_set
299,set alarm for eight am,alarm_set,alarm_set
300,set a continuous alarm without the option to snooze for seven am please,alarm_set,alarm_set
301,make an alarm for the meeting with bob at seven today,alarm_set,alarm_set
