,text,label
0,Scala Regex Multiple Block Capturing,scala
1,Use Oracle 6 from ASP.NET application,oracle
2,HQL 1 to many count() question,hibernate
3,scala syntax highlighting in bluefish,scala
5,Why this keyboard intercepting kernel extension doesn't work?,osx
6,test sending emails from SharePoint without smtp server,sharepoint
7,cell and array in Matlab,matlab
8,How do I call an ORACLE function from OCI ?,oracle
9,Typed FP: Tuple Arguments and Curriable Arguments,haskell
12,Translate Spring XML configuration to Java config,spring
13,Magento - Display Same Block Multiple Times on CMS Page,magento
15,How do I switch external css files with ajax?,ajax
16,Magento - Code Question,magento
17,Can Scala survive without corporate backing?,scala
18,Handling metacharacters in search strings,bash
19,magento example module,magento
20,Sql server Newbie needs help,excel
21,Getting access to a spring bean from a webservice?,spring
24,Cabal and zlib on OS X,haskell
25,How do I watch a serial port with QSocketNotifier (linux)?,qt
26,Controlling the order of QObject children (possible workaround?),qt
27,Inserting into Oracle the wrong way - how to deal with it?,oracle
28,Bash: Delete until a specific file,bash
29,How to update a database schema without losing your data with Hibernate?,hibernate
31,how to add additional message in a Drupal form,drupal
33,How do you rate Oracle Portals as a platform?,oracle
35,Little Bash Script: Catch Errors?,bash
36,Undeletable file due to backup script,bash
37,"Creating ""pretty"" Qt Custom Widgets",qt
39,Floating Point Comparison in Shell Script,bash
42,Why is Clojure much faster than Scala on a recursive add function?,scala
44,How to create a tray icon with custom image using QT?,qt
45,magento simple product link to open grouped products page,magento
46,Programmatically Change System Network (Proxy) settings,osx
47,Spring JDBC connection pool and InputStream results,spring
48,How do I test if a floating point number is an integer in haskell?,haskell
50,"Per-filetype ""View whitespace"" setting in Visual Studio",visual-studio
51,How to show x and y axes in Matlab graph?,matlab
53,Drupal automatic glossary for specific terms,drupal
54,Show product creation & last edit dates on Frontend in Magento,magento
56,How to automate Matlab/Simulink/Real-TimeWorkshop  code generation?,matlab
57,QT: Hide the title bar of a dialog/window,qt
59,Substantial Android development in Scala,scala
60,"SharePoint Lists, GetListItems, XML, and VBA - I just want to crossreference!",sharepoint
61,What is GHCi's default implementation of MonadError?,haskell
62,Changing a user created control based on content of input from JS tied textbox,ajax
64,QT question about a QList<QStingList>,qt
65,"safe, fast CFLAGS for mex functions in matlab",matlab
66,Firing a SharePoint Workflow by updating a list item through List Webservice,sharepoint
67,@Immutable vs @Entity(mutable=false) in Hibernate,hibernate
68,Run Magento in the future!,magento
70,Response.redirect does not work with Ajax controls,ajax
71,Notify upon background jobs finishing running in bash,bash
72,Seqential & continuous invoice number in Hibernate / ColdFusion ORM?,hibernate
74,Running A Bash Script Over SSH,bash
75,Hibernate cannot remove child from database,hibernate
77,QTMovie Notification,qt
78,Scala:  binary incompatibility between releases,scala
79,Dependency Inject by type using generics - how does it work?,spring
80,How should I think about Scala's Product classes?,scala
82,Unpacking varargin to individual variables,matlab
83,Drupal / Rules: flagging multiple terms on user save,drupal
84,Excel: parse text as formula,excel
85,Why does this Haskell code work successfully with infinite lists?,haskell
86,Using CoreData with an object?,osx
87,Drupal module for webmaster block management?,drupal
88,Understanding the different dispatchers in Akka 2,scala
89,Running X11 Server on MacOS X - and connecting from a remote machine,osx
90,Is there non-daemon FTP server application fot Mac OS? (like MAMP),osx
91,Thread safety of Matlab engine API,matlab
92,AJAX and callback function,ajax
93,integrating springMVC and extjs,spring
94,Where does Drupal store NODE data?,drupal
95,MetaStorm Ework and SharePoint 2007,sharepoint
98,Qt +hiding window after startup,qt
99,SQL-WHERE TYPE Formulas in Excel,excel
101,How do I sort my code in Visual Studio 2008?,visual-studio
102,Hiding a SharePoint Custom Field Type in Edit and Create mode,sharepoint
103,Improve oracle query performance without indexing,oracle
104,Get all pixel coordinates of a vector inside a image,matlab
105,$$ in Bash.,bash
108,Qt 4.5.3 QEvent::EnterEditFocus,qt
109,Java Project Configuration,spring
110,Detecting the number of ORACLE rows updated by a OCI OCIStmtExecute call,oracle
113,How can I remove missing files with spaces in svn?,bash
114,Howto get SharePoint version using object model,sharepoint
115,Excel: Formula to reference an entire pivot table?,excel
116,Can a Bash script tell what directory it's in?,bash
117,Oracle: What does `(+)` do in a WHERE clause?,oracle
120,How to make a sub string selection and concatenation in excel ?,excel
122,I need to order a list that is dependant on another list. how to change both lists?,matlab
123,"Drupal node_save no longer returns $nid, so how do I get it?",drupal
125,hibernate lazy solution. Is it right??,hibernate
126,fatal error Varien_Autoload not found,magento
129,Read excel sheet in c#.net,excel
130,BASH: Test whether string is valid as an integer?,bash
131,How to implement such an effect using matlab?,matlab
132,Sharepoint - Providing data outisde intranet,sharepoint
133,how to shear image in matlab without using built in function?,matlab
134,Magento - Add CMS Block to One Page,magento
135,ajax success event not working,ajax
136,Tracking down errors in Haskell,haskell
137,Is QuickSilver dead?,osx
138,MATLAB arbitrary code execution,matlab
139,"""Microsoft Visual C# IntelliSense has stopped working"" in project referencing F#",visual-studio
141,Unsolvable Magento Cart problem,magento
143,Visual Studio plug-in that mimics eclipse environment,visual-studio
144,Is it possible to aggregate information from portal list to My Site,sharepoint
145,Managing Browser History in Ajax,ajax
146,How do you output a line break in the command view in Matlab when running a m-file?,matlab
147,How do I set the icon for my application's Mac OS X app bundle?,osx
148,Drupal workflow action access integrated with taxonomy access control?,drupal
149,How to set selected filter on QFileDialog?,qt
150,VisualStudio: How to save the obj folder somewhere else,visual-studio
151,"Using Data.Heap in Haskell, or reading Haskell docs for a beginner",haskell
153,Scala compiler error due to constructor parameter (property) having same name in both base and derived class and used in derived method,scala
154,Write a Haskell interpreter in Haskell,haskell
155,can not get scion_server to be created using runghc,haskell
156,Getting a List of Applications Capable of Opening a Type of File,osx
159,Tracking permissions in SharePoint,sharepoint
160,Searching views in Drupal,drupal
161,Hidden features of Qt.,qt
163,trouble connecting Excel to Analysis Services server..,excel
164,Problem with IE8 using AJAX,ajax
165,Spring Faces Javascript,spring
167,How to extract leaf nodes from Oracle XMLTYPE,oracle
169,Looping over commands to print and execute in BASH,bash
