,text,label
6,What is the procedure for depositing a virtual card,get_disposable_virtual_card
7,i have a pending top-up,pending_top_up
12,My top up was denied,top_up_failed
13,Do I need to verify the top-up?,verify_top_up
26,"Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?",failed_transfer
37,Would I be charged any fees if I added money to my account using an international card?,top_up_by_card_charge
41,"What do I do with my ""decline"" message on a transfer?",declined_transfer
66,I didn't see the money I added to my card.,top_up_failed
86,"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",lost_or_stolen_card
94,What top up charges are there for US cards?,top_up_by_card_charge
96,"I could not get a top-up to work, why?",top_up_failed
98,"I would like a disposable virtual card, could I get one?",get_disposable_virtual_card
100,I have been trying to make transfers to another account but I keep getting a declined notice. I have checked all of my information more than once and my information is accurate.,declined_transfer
102,Verifying top-up cards necessary?,verify_top_up
104,What would be a reason my transfer got declined?,declined_transfer
123,"I need to set up an account for my daughter, how would I do that?",age_limit
125,My top up has failed,top_up_failed
128,What method do you use for the exchange rate?,exchange_rate
132,"I have a Visa and Mastercard, can I use these?",visa_or_mastercard
141,"I'm trying to move money from my account to elsewhere, but it's giving me an error message.",declined_transfer
142,I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or try an alternative,top_up_failed
143,My top up is still pending,pending_top_up
144,"i have tried everything to complete a transfer but can't, what should i do next",declined_transfer
149,Should my top-up be completed by now?,pending_top_up
152,Please send me a disposable virtual card.,get_disposable_virtual_card
158,What is the verification code for my top up card?,verify_top_up
159,Can you tell me why my transfer declined?,declined_transfer
164,Can I get a Visa instead of a MasterCard?,visa_or_mastercard
165,My money I added isn't on my card.,top_up_failed
166,I think there has been a mistake with my transfer,declined_transfer
169,"Transfer was declined, could not complete request.",declined_transfer
179,How do I unblock my card?,pin_blocked
183,Are there any disposable virtual cards?,get_disposable_virtual_card
185,"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue?",failed_transfer
190,"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",failed_transfer
197,Why am I getting declines when trying to make a purchase online?,declined_transfer
208,"If my salary is in GBP, do I need to do something?",receiving_money
212,I tried to do a transfer and it's saying it declined.,declined_transfer
213,How long should it take for my top-up to finish? I've been waiting a while.,pending_top_up
219,Are there still fees for european top-ups?,top_up_by_card_charge
223,From which age can my kids use your service?,age_limit
225,Trouble with my top up,top_up_failed
231,This transaction needs both a Visa and a Mastercard.,visa_or_mastercard
233,Why does top-up require verification?,verify_top_up
240,How come my transfer got declined,declined_transfer
252,Hello. I'm trying to transfer some money to a friend but it keeps getting rejected. can you help me?,failed_transfer
257,I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.,pending_top_up
263,What are Interbanks current exchange rates?,exchange_rate
269,Is it possible for me to set up separate accounts for my kids?,age_limit
271,"
How do I unblock my PIN?",pin_blocked
275,I tried to make a transfer like five different times. Why won't your system let me? Is it broke?,failed_transfer
281,Do you have the best exchange rate?,exchange_rate
307,Please explain why my top-up hasn't been processed yet?,pending_top_up
317,How do i find my top-up card's verification code?,verify_top_up
319,There is a top up that has been pending for an hour and I don't know why.  I was expecting it immediately and need it now!,pending_top_up
326,Can I choose whether I receive a Visa or a Mastercard card?,visa_or_mastercard
330,I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one?,get_disposable_virtual_card
350,What are the charges for topping up US card?,top_up_by_card_charge
353,I can't see a top-up top-up verification code.,verify_top_up
354,I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,pending_top_up
355,What are these disposable cards meant for?,get_disposable_virtual_card
361,"I received a ""declined"" message when doing a transfer",declined_transfer
370,I need a disposable virtual card. Please tell me how to order one.,get_disposable_virtual_card
373,My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,top_up_failed
382,"Hello, I trying to top up with my card today but it didn't work. When I tried last time it worked but today it isn't. Could you take a look at it for me?",top_up_failed
388,How do I verify the top-up?,verify_top_up
389,I entered the pin incorrectly too many times and now it is blocked. Can you help?,pin_blocked
392,"My card keeps getting declined when I try to use it.  I would like to top-up, but it is not going though.",top_up_failed
396,"My transfer failed, why?",failed_transfer
402,Can I transfer money using a different currency?,receiving_money
403,"Why do you keep declining my transfers? It's been working well so far, but when I just tried to buy something, the card got declined. I tried it a few times, but same thing happened every try.",declined_transfer
409,I received my salary in the wrong currency. How do I change this?,receiving_money
419,I need to report a stolen card,lost_or_stolen_card
421,I would like a Visa card.,visa_or_mastercard
423,I got a message that my transfer was declined.,declined_transfer
426,Why are my transfers not going through.  I have tried over 4 times to get it to work.  This is just a simple transfer.  Is something else causing this in the system?  Is it broken?,failed_transfer
442,What are your exchange rates calculated from?,exchange_rate
448,"I have used all my PIN tries, what now?",pin_blocked
464,Would I be able to get an account for my child?,age_limit
465,I've made more than one attempt to make a purchase and the card keeps getting declined. Why do you keep denying my transfers?,declined_transfer
467,Is there any way for you to find my card?,lost_or_stolen_card
475,Is it possible to get both Mastercard and Visa card from you?,visa_or_mastercard
478,"Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it.",get_disposable_virtual_card
484,What do I do if my card is stolen?,lost_or_stolen_card
485,"When I attempted to make a transfer, it failed.",failed_transfer
491,Will you charge me more if I top up with an international card?,top_up_by_card_charge
508,Is it acceptable to use either Visa or Mastercard?,visa_or_mastercard
510,I received a transfer in GBP how do I change it to a different currency?,receiving_money
513,What are the exchange rates?,exchange_rate
530,Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,lost_or_stolen_card
531,Where can I find the top up verification code?,verify_top_up
533,Do I have a Visa card as an option?,visa_or_mastercard
534,Top up did not work on the app.,top_up_failed
536,How do I create a disposable virtual card?,get_disposable_virtual_card
538,How are the exchange rates determined?,exchange_rate
563,What do I have to do to get my PIN unblocked?,pin_blocked
566,are there age requirements,age_limit
570,Are there any charges for European bank card for top up?,top_up_by_card_charge
574,I can't figure out how to unblock my pin number. Can you help me?,pin_blocked
581,I need mastercard as well as visa,visa_or_mastercard
585,What is the appropriate age for my child to be able to open an account?,age_limit
586,Is there a reason why top-up needs verifying?,verify_top_up
598,Is there a reason that my top-up is still pending?,pending_top_up
599,I requested for a top-up but it has not reflected,top_up_failed
603,Can my salary be received and transferred to my current currency in my country?,receiving_money
613,Help me unblock my PIN.,pin_blocked
617,Where do i verify a top-up card?,verify_top_up
618,Are there ways for other people to send me money?,receiving_money
629,"new customer and filling gas for the first time today, not working,",pending_top_up
633,Please tell me how to verify my top up card.,verify_top_up
639,How are your exchange rates calculated?,exchange_rate
644,How many times can I enter a wrong PIN before it is blocked?,pin_blocked
645,"My card has been stolen. I reported it with the police, but I need to report it with you as well.",lost_or_stolen_card
652,Help Me!  I lost my card.  What should I do?,lost_or_stolen_card
653,Can I choose between Mastercard and Visa?,visa_or_mastercard
657,What's a verification code?,verify_top_up
658,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",pending_top_up
661,Is it possible to get a Visa and Mastercard from you?,visa_or_mastercard
664,I don't think that my top-up worked.,top_up_failed
675,No Visa please. I want to continue with Mastercard.,visa_or_mastercard
680,I lost my card n need a new one.,lost_or_stolen_card
694,Seems like my top-up has not gone through,pending_top_up
703,What does top-up verification do?,verify_top_up
711,Where does the exchange rate stand right now?,exchange_rate
713,Can someone assist me with explaining how I can unblock my pin?,pin_blocked
716,Please check and let me know why my transfers are getting declined.,declined_transfer
724,How do I replace a stolen card?,lost_or_stolen_card
731,My card has been lost / stolen,lost_or_stolen_card
732,I topped up but it isn't in my account,pending_top_up
733,"i need help, i lost my card",lost_or_stolen_card
736,"I got a transfer fail message, but no explanation of why-- what happened?",failed_transfer
742,can you tell me where to find the top-up verification code?,verify_top_up
757,Help me unblock my account.  I entered the PIN wrong too many times.,pin_blocked
758,What do I need to know about topping up?,top_up_by_card_charge
762,Can you please explain disposable virtual cards for me?,get_disposable_virtual_card
765,What is the age limit?,age_limit
769,Could you tell me what your exchange rates are?,exchange_rate
771,Where can I find the exchange rate for my transfer?,exchange_rate
783,My top up card needs verification and I don't know how to do it,verify_top_up
790,Will I get Visa or MasterCard?,visa_or_mastercard
793,Hold old do my kids have to be to use the service?,age_limit
800,Why does a top- up need to be verify?,verify_top_up
801,Why would you cancel my transfer?,declined_transfer
803,My PIN was entered wrong and now I am blocked.  Please unblock.,pin_blocked
822,I tried to top up with my card but it's not working. I had just done this a couple days previously and it worked. Can you tell me what's going on here please?,top_up_failed
824,How do I transfer funds if I am paid in GBP?,receiving_money
825,"My top up has been pending for an hour already, and I really need this to go through as soon as possible.  Can you help?",pending_top_up
830,Where is the top-up verification code sent?,verify_top_up
837,Why is it failing to top-up?,top_up_failed
841,Could you please freeze my card immediately?,lost_or_stolen_card
848,Can you look into why my most recent top-up is showing as pending? I thought it was supposed to be instantaneous.,pending_top_up
855,How old do you need to be to have an account?,age_limit
861,I would like to get an account for my child.,age_limit
867,I believe my top up did not work.,top_up_failed
871,"Hello.  I ran into a problem with a transfer this morning.  I was trying to send money to some friends but when I tried to send it, the transfer failed.  I don't know what is causing the transfer to be rejected.  Please let me know what is causing the problem.  Thanks.",failed_transfer
881,My credit card did not go through. Can you see if it has insufficient funds?,top_up_failed
895,What do I need to do to get my salary through this?,receiving_money
902,Should my top up still be pending?,pending_top_up
905,May I get my salary paid out in a different currency?,receiving_money
907,Why do transfers get declined?,declined_transfer
919,Is the verification number on the top up card,verify_top_up
922,"I'm trying to verify my top-up card, but I can't find the code...?",verify_top_up
928,Can my teenager have an account?,age_limit
935,My top up doesn't work,top_up_failed
936,My card has gone missing.,lost_or_stolen_card
940,from where are coming your exchange rates?,exchange_rate
944,Where can i top my card for free?,top_up_by_card_charge
946,I have transfered to my account before but it is being declined now?,declined_transfer
948,"Which card would I get, Visa or Mastercard?",visa_or_mastercard
950,Do I get  a mastercard and visa?,visa_or_mastercard
953,How is the exchange rate doing?,exchange_rate
971,Guide me on how to unblock my PIN,pin_blocked
980,How old does one need to be?,age_limit
987,Looks like my top up failed.,top_up_failed
988,I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer?,failed_transfer
