,text,label
0,Scala Regex Multiple Block Capturing,scala
1,Use Oracle 6 from ASP.NET application,oracle
3,scala syntax highlighting in bluefish,scala
4,Weird bindings issue,cocoa
5,Why this keyboard intercepting kernel extension doesn't work?,osx
6,test sending emails from SharePoint without smtp server,sharepoint
7,cell and array in Matlab,matlab
8,How do I call an ORACLE function from OCI ?,oracle
9,Typed FP: Tuple Arguments and Curriable Arguments,haskell
10,Do I still need to learn about managing memory now that Objective-C/Cocoa has Garbage collection?,cocoa
11,"Wordpress: wpdb->insert VERSUS wpdb->prepare(wpdb->query(""INSERT...",wordpress
13,Magento - Display Same Block Multiple Times on CMS Page,magento
14,How to tell SVN to ignore files for all team members,svn
15,How do I switch external css files with ajax?,ajax
16,Magento - Code Question,magento
17,Can Scala survive without corporate backing?,scala
19,magento example module,magento
20,Sql server Newbie needs help,excel
22,Automatically add some Where clauses to a Linq Expression Tree,linq
23,"How to get a Wordpress widget to ""remember"" values.",wordpress
24,Cabal and zlib on OS X,haskell
25,How do I watch a serial port with QSocketNotifier (linux)?,qt
26,Controlling the order of QObject children (possible workaround?),qt
27,Inserting into Oracle the wrong way - how to deal with it?,oracle
30,Undelete in SVN working copy,svn
32,NSColor with calibrated values works differently than regular color??,cocoa
33,How do you rate Oracle Portals as a platform?,oracle
34,Executing simple commands with Cocoa and Sdef.,cocoa
37,"Creating ""pretty"" Qt Custom Widgets",qt
38,Is there a way to capture the index value in a LINQ Where method in C#?,linq
40,Is there any way to only update added files?,svn
42,Why is Clojure much faster than Scala on a recursive add function?,scala
43,How to debug the main SafariPlugIn project ?,cocoa
44,How to create a tray icon with custom image using QT?,qt
45,magento simple product link to open grouped products page,magento
46,Programmatically Change System Network (Proxy) settings,osx
48,How do I test if a floating point number is an integer in haskell?,haskell
49,Tips for using CVS or Subversion as a backup framework for office documents,svn
50,"Per-filetype ""View whitespace"" setting in Visual Studio",visual-studio
51,How to show x and y axes in Matlab graph?,matlab
52,How to gain access to all  open windows on Desktop using Cocoa?,cocoa
54,Show product creation & last edit dates on Frontend in Magento,magento
56,How to automate Matlab/Simulink/Real-TimeWorkshop  code generation?,matlab
57,QT: Hide the title bar of a dialog/window,qt
58,Query to Delete Posts Older than X Days in WordPress,wordpress
59,Substantial Android development in Scala,scala
60,"SharePoint Lists, GetListItems, XML, and VBA - I just want to crossreference!",sharepoint
61,What is GHCi's default implementation of MonadError?,haskell
62,Changing a user created control based on content of input from JS tied textbox,ajax
64,QT question about a QList<QStingList>,qt
65,"safe, fast CFLAGS for mex functions in matlab",matlab
66,Firing a SharePoint Workflow by updating a list item through List Webservice,sharepoint
68,Run Magento in the future!,magento
69,How to add collation to Linq expressions?,linq
70,Response.redirect does not work with Ajax controls,ajax
76,Using CMS to make webapps.,wordpress
77,QTMovie Notification,qt
78,Scala:  binary incompatibility between releases,scala
80,How should I think about Scala's Product classes?,scala
81,add column to wordpress database,wordpress
82,Unpacking varargin to individual variables,matlab
84,Excel: parse text as formula,excel
85,Why does this Haskell code work successfully with infinite lists?,haskell
86,Using CoreData with an object?,osx
88,Understanding the different dispatchers in Akka 2,scala
89,Running X11 Server on MacOS X - and connecting from a remote machine,osx
90,Is there non-daemon FTP server application fot Mac OS? (like MAMP),osx
91,Thread safety of Matlab engine API,matlab
92,AJAX and callback function,ajax
95,MetaStorm Ework and SharePoint 2007,sharepoint
96,Adding a custom member to a mapped type,linq
97,Best SVN Tools,svn
98,Qt +hiding window after startup,qt
99,SQL-WHERE TYPE Formulas in Excel,excel
100,Why does Spotlight sometimes not run my query?,cocoa
101,How do I sort my code in Visual Studio 2008?,visual-studio
102,Hiding a SharePoint Custom Field Type in Edit and Create mode,sharepoint
103,Improve oracle query performance without indexing,oracle
104,Get all pixel coordinates of a vector inside a image,matlab
106,Creating a bundle - What's going wrong?,cocoa
108,Qt 4.5.3 QEvent::EnterEditFocus,qt
110,Detecting the number of ORACLE rows updated by a OCI OCIStmtExecute call,oracle
114,Howto get SharePoint version using object model,sharepoint
115,Excel: Formula to reference an entire pivot table?,excel
117,Oracle: What does `(+)` do in a WHERE clause?,oracle
118,svn + repostiory location,svn
119,Wordpress Add Links,wordpress
120,How to make a sub string selection and concatenation in excel ?,excel
122,I need to order a list that is dependant on another list. how to change both lists?,matlab
124,How do i make my colleagues not despising SVN?,svn
126,fatal error Varien_Autoload not found,magento
128,Wordpress: query all images in a posts media library,wordpress
129,Read excel sheet in c#.net,excel
131,How to implement such an effect using matlab?,matlab
132,Sharepoint - Providing data outisde intranet,sharepoint
133,how to shear image in matlab without using built in function?,matlab
134,Magento - Add CMS Block to One Page,magento
135,ajax success event not working,ajax
136,Tracking down errors in Haskell,haskell
137,Is QuickSilver dead?,osx
138,MATLAB arbitrary code execution,matlab
139,"""Microsoft Visual C# IntelliSense has stopped working"" in project referencing F#",visual-studio
140,Wordpress SEO Features,wordpress
141,Unsolvable Magento Cart problem,magento
142,Wordpress: How do I convert a generated URL (permalink) to a pretty URL?,wordpress
143,Visual Studio plug-in that mimics eclipse environment,visual-studio
144,Is it possible to aggregate information from portal list to My Site,sharepoint
145,Managing Browser History in Ajax,ajax
146,How do you output a line break in the command view in Matlab when running a m-file?,matlab
147,How do I set the icon for my application's Mac OS X app bundle?,osx
149,How to set selected filter on QFileDialog?,qt
150,VisualStudio: How to save the obj folder somewhere else,visual-studio
151,"Using Data.Heap in Haskell, or reading Haskell docs for a beginner",haskell
152,Is DB_LINQ + Non-MSSQL Database an acceptable substitute for LINQ to SQL with MSSQL?,linq
153,Scala compiler error due to constructor parameter (property) having same name in both base and derived class and used in derived method,scala
154,Write a Haskell interpreter in Haskell,haskell
155,can not get scion_server to be created using runghc,haskell
156,Getting a List of Applications Capable of Opening a Type of File,osx
157,if exists statement in sql to linq,linq
158,Using LINQ to SQL and chained Replace,linq
159,Tracking permissions in SharePoint,sharepoint
161,Hidden features of Qt.,qt
163,trouble connecting Excel to Analysis Services server..,excel
