,text,label
2,Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?,beneficiary_not_allowed
8,What card or currency can I use to pay?,supported_cards_and_currencies
10,What steps are taken to transfer money into my account?,transfer_into_account
11,Where can I check out the source of available funds in my account?,verify_source_of_funds
12,My top up was denied,top_up_failed
13,Do I need to verify the top-up?,verify_top_up
14,Can I use my account before my Identity verification has passed?,why_verify_identity
15,Please tell me the steps to verify my identity.,verify_my_identity
17,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival
18,What are the currency types that I can keep money in.,fiat_currency_support
19,"Please help me, there is a transaction in the incorrect account.",cancel_transfer
20,Can I add money to my account via bank transfer?,transfer_into_account
21,Will my transfer be done soon?,pending_transfer
22,What is the auto top-up limit?,automatic_top_up
24,I do not feel comfortable verifying my identity.,why_verify_identity
27,Some cash was missing at ATM.,wrong_amount_of_cash_received
28,I didn't get all the cash I asked for,wrong_amount_of_cash_received
29,There is a cash withdrawal in my account that isn't mine.,cash_withdrawal_not_recognised
30,how to change name on account,edit_personal_details
32,Why does a cash withdrawal show as pending?,pending_cash_withdrawal
33,I am not comfortable verifying my indentity.,why_verify_identity
34,What other currencies can I hang onto?,fiat_currency_support
35,Can my PIN changed remotely without visiting a bank?,change_pin
36,What does a transfer cost?,top_up_by_bank_transfer_charge
37,Would I be charged any fees if I added money to my account using an international card?,top_up_by_card_charge
38,How can a payment be declined,declined_card_payment
39,Is there such thing as an auto top-up option?,automatic_top_up
42,What is the maximum transactions I can use on a disposable card?,disposable_card_limits
45,Is it possible to hold money in different currencies?,fiat_currency_support
46,Can I check to see where the funds came from?,verify_source_of_funds
47,There was an extra charge when I used my card,card_payment_fee_charged
48,I contacted the seller for a direct refund last week but he still hasn't give me my money. What should I do?,Refund_not_showing_up
49,Please tell me where I can update my details since I moved.,edit_personal_details
50,"I seem to have a problem here, I bought something about a 2 weeks ago and just now received the payment back into my account and I've already received the item. Can you tell me what is going on here?",reverted_card_payment?
51,I need to update my address.,edit_personal_details
52,How long will it take for the money to reach my account?,transfer_timing
53,What countries do your accounts send and receive to?,country_support
56,Is going to a bank only way to change my PIN?,change_pin
57,I tried to pay with my card and it didn't work,declined_card_payment
58,Lost password,passcode_forgotten
59,need help with google pay top up,apple_pay_or_google_pay
60,I would like a  physical card sent to me.,order_physical_card
62,If I need more than cards will I have to pay a fee to receive them?,getting_spare_card
63,Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,declined_card_payment
64,I transferred money and it didn't get there.,transfer_not_received_by_recipient
65,You sent me a card and now I want to link it.,card_linking
66,I didn't see the money I added to my card.,top_up_failed
